id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_2419,"Bear Character","Bear Character",https://balloonsd.com/wp-content/uploads/2020/12/unnamed.jpg,https://balloonsd.com/product/bear-character/,"Characters","Balloon Stories",60USD,in stock,wc_post_id_2419,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,60USD,new,published,,,,,,,
wc_post_id_2414,"12' Polka Dot Balloon Assortment","12' Polka Dot Balloon Assortment",https://balloonsd.com/wp-content/uploads/2020/12/Capture-3.jpg,https://balloonsd.com/product/18-polka-dot-balloon-assortment/,"Latex Balloons","Balloon Stories",7USD,in stock,wc_post_id_2414,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,7USD,new,published,,,,,,,
wc_post_id_2411,"18' Moon Shape Balloon","18' Moon Shape Balloon",https://balloonsd.com/wp-content/uploads/2020/12/Capture-2.jpg,https://balloonsd.com/product/18-moon-shape-balloon/,"Shapes","Balloon Stories",7USD,in stock,wc_post_id_2411,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,7USD,new,published,,,,,,,
wc_post_id_2408,"12' Heart Shape Balloon Assortment","12' Heart Shape Balloon Assortment",https://balloonsd.com/wp-content/uploads/2020/12/product-Gelievoe-serdtse-10-d_bd2f98b794f54c648814f9b41b310592.jpg,https://balloonsd.com/product/12-heart-shape-balloon-assortment/,"Latex Balloons","Balloon Stories",7USD,in stock,wc_post_id_2408,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,7USD,new,published,,,,,,,
wc_post_id_2405,"12' Happy Birthday Balloon Assortment","12' Happy Birthday Balloon Assortment",https://balloonsd.com/wp-content/uploads/2020/12/81sQj1U37BL._AC_UL320_.jpg,https://balloonsd.com/product/12-happy-birthday-balloon-assortment/,"Latex Balloons","Balloon Stories",7USD,in stock,wc_post_id_2405,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,7USD,new,published,,,,,,,
wc_post_id_2372,"12' Frozen Balloon Assortment","12' Frozen Balloon Assortment",https://balloonsd.com/wp-content/uploads/2020/12/61B9G0q5OLL._AC_UL320_.jpg,https://balloonsd.com/product/12-frozen-balloon-assortment/,"Latex Balloons","Balloon Stories",7USD,in stock,wc_post_id_2372,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,7USD,new,published,,,,,,,
wc_post_id_2370,"12' Polka Dot Balloon Assortment","12' Polka Dot Balloon Assortment",https://balloonsd.com/wp-content/uploads/2020/12/Capture.jpg,https://balloonsd.com/product/12-polka-dot-balloon-assortment/,"Latex Balloons","Balloon Stories",7USD,in stock,wc_post_id_2370,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,7USD,new,published,,,,,,,
wc_post_id_2365,"12' Pastel Balloon Assortment","12' Pastel Balloon Assortment",https://balloonsd.com/wp-content/uploads/2020/12/42242_star_wars_mandalorian_the_child_front-3.jpg,https://balloonsd.com/product/12-pastel-balloon-assortment/,"Latex Balloons","Balloon Stories",5USD,in stock,wc_post_id_2365,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,5USD,new,published,,,,,,,
wc_post_id_2361,"12' Neon Balloon Assortment","12' Neon Balloon Assortment",https://balloonsd.com/wp-content/uploads/2020/12/42242_star_wars_mandalorian_the_child_front-2.jpg,https://balloonsd.com/product/12-neon-balloon-assortment/,"Latex Balloons","Balloon Stories",5USD,in stock,wc_post_id_2361,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,5USD,new,published,,,,,,,
wc_post_id_2351,"12' Metallic Balloon Assortment","'",https://balloonsd.com/wp-content/uploads/2020/12/42242_star_wars_mandalorian_the_child_front-1.jpg,https://balloonsd.com/product/12-metallic-balloon-assortment/,"Latex Balloons","Balloon Stories",0USD,in stock,wc_post_id_2351,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0USD,new,published,,,,,,,
